# 资料
粤语			从零开始学习粤语链接:https://pan.baidu.com/s/1cazTHc密码:apkj
泰语			从零开始学习泰语链接:https://pan.baidu.com/s/1c57YR8密码:uj5f
高逼格/照片			教你用手机拍出高逼格的照片链接:https://pan.baidu.com/s/1cbLCdS密码:fq9q
小白/PPT/大神			从小白到PPT大神链接:https://pan.baidu.com/s/1cbfPP8密码:27iw
高逼格/PPT			教你零基础做出高逼格PPT链接:https://pan.baidu.com/s/1boN6B4F密码:rtcq
写字			教你从零基础写出一手漂亮好字链接:https://pan.baidu.com/s/1eSzugnS密码:pexc
手机摄影			手机摄影达人速成链接:https://pan.baidu.com/s/1i47fqfV密码:5sg4
好声音			如何练就好声音链接:https://pan.baidu.com/s/1skNJZWx密码:z45v
学唱歌			零基础入门学唱歌链接:https://pan.baidu.com/s/1i4YjCKd密码:e3je
健康/饮食			健康饮食秘诀链接:https://pan.baidu.com/s/1dFpmPOH密码:tmkw
健身/减脂/塑形			懒人科学健身法：疯狂减脂塑形，把私教请回家链接:https://pan.baidu.com/s/1skKwnnB密码:8qkv
播音/主持			播音主持培训课链接:https://pan.baidu.com/s/1sloi1yd密码:94zk
化妆			零基础化妆美颜术链接:https://pan.baidu.com/s/1dFhfvhf密码:sg9x
赚钱/公众号			零基础教你做出能赚钱的公众号链接:https://pan.baidu.com/s/1dFcvE1N密码:2est
公众号/90招/运营			公众号90招运营速成指南链接:https://pan.baidu.com/s/1bp2OawZ密码:zeyk
公众号/排版			微信公众号高颜值排版技术课程链接:https://pan.baidu.com/s/1i4YjCcX密码:rsmg
公众号/写作			公众号写作培训课程01：链接:https://pan.baidu.com/s/1gfapCll密码:38xg；02：链接:https://pan.baidu.com/s/1kVMkANX密码:3acg；03：链接:https://pan.baidu.com/s/1gfKWI6f密码:v3um；04：链接:https://pan.baidu.com/s/1hsrOBUs密码:qfgp；05；链接:https://pan.baidu.com/s/1eSyEkee密码:eftd；06；链接:https://pan.baidu.com/s/1jHRwbwq密码:ihdc07；链接:https://pan.baidu.com/s/1kVMQ7qf密码:92yj
公众号/职场技能			用公众号增加收入，掌握最热门的职场技能链接:https://pan.baidu.com/s/1hrBligG密码:ym3v
今日头条/电商			今日头条电商训练营链接:https://pan.baidu.com/s/1jIDzlau密码:3k41
行业/简历			70个不同行业简历模板链接：https://pan.baidu.com/s/1vYQfsIoRJDUd8UQJ-3uHwg密码：1r2k
简历			如何让简历脱颖而出链接：https://pan.baidu.com/s/1s1gcwWtPY5vB4m5znJ345w密码：vjnp
刺猬/简历			刺猬实习简历礼包链接：https://pan.baidu.com/s/1ys87eXSSAajlxugG-EjI5Q密码：79xy
~			酱酱！酱酱！/可爱
腾讯/笔试			腾讯历年笔试真题：链接：https://pan.baidu.com/s/1x_NfMFj26IEtaFzaimvkUg密码：lr7l
简历/老司机			老司机简历|运营、产品、技术岗都有，已入职腾讯、阿里、网易的一手简历！链接：http://t.cn/R1EdP6q密码：yj34
手账			2017手账素材合集等多个文件链接：https://pan.baidu.com/s/1hpRJBhIF4e7SnJOz_0IYRg密码：8a4m
